Brands,Familys,Years,Link_Years,download_flag
Audi,RS Q3 Sportback,2021,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Audi&varnome=RS%20Q3%20Sportback&anoini=2021&anofim=2021,True
Chery,Tiggo 7,2024,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Chery&varnome=Tiggo%207&anoini=2024&anofim=2024,True
Chery,Tiggo 7,2023,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Chery&varnome=Tiggo%207&anoini=2023&anofim=2023,True
Chery,Tiggo 7,2022,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Chery&varnome=Tiggo%207&anoini=2022&anofim=2022,True
Chery,Tiggo 7,2021,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Chery&varnome=Tiggo%207&anoini=2021&anofim=2021,False
Chery,Tiggo 7,2020,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Chery&varnome=Tiggo%207&anoini=2020&anofim=2020,True
Chery,Tiggo 7,2019,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Chery&varnome=Tiggo%207&anoini=2019&anofim=2019,False
McLaren,765LT,2022,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=McLaren&varnome=765LT&anoini=2022&anofim=2022,True
McLaren,765LT,2021,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=McLaren&varnome=765LT&anoini=2021&anofim=2021,False
Mercedes-Benz,EQE,2023,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Mercedes-Benz&varnome=EQE&anoini=2023&anofim=2023,True
JAC,iEV330P,2022,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=JAC&varnome=iEV330P&anoini=2022&anofim=2022,True
JAC,iEV330P,2021,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=JAC&varnome=iEV330P&anoini=2021&anofim=2021,False
JAC,iEV330P,2020,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=JAC&varnome=iEV330P&anoini=2020&anofim=2020,False
Renault,Clio,2016,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Renault&varnome=Clio&anoini=2016&anofim=2016,False
Renault,Clio,2015,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Renault&varnome=Clio&anoini=2015&anofim=2015,False
Renault,Clio,2014,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Renault&varnome=Clio&anoini=2014&anofim=2014,True
Renault,Clio,2013,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Renault&varnome=Clio&anoini=2013&anofim=2013,False
Renault,Clio,2012,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Renault&varnome=Clio&anoini=2012&anofim=2012,False
Renault,Clio,2011,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Renault&varnome=Clio&anoini=2011&anofim=2011,False
Renault,Clio,2010,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Renault&varnome=Clio&anoini=2010&anofim=2010,True
Renault,Clio,2009,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Renault&varnome=Clio&anoini=2009&anofim=2009,True
Renault,Clio,2008,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Renault&varnome=Clio&anoini=2008&anofim=2008,True
Renault,Clio,2007,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Renault&varnome=Clio&anoini=2007&anofim=2007,True
Renault,Clio,2006,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Renault&varnome=Clio&anoini=2006&anofim=2006,False
Renault,Clio,2005,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Renault&varnome=Clio&anoini=2005&anofim=2005,True
Renault,Clio,2004,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Renault&varnome=Clio&anoini=2004&anofim=2004,True
Renault,Clio,2003,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Renault&varnome=Clio&anoini=2003&anofim=2003,False
Renault,Clio,2002,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Renault&varnome=Clio&anoini=2002&anofim=2002,True
Renault,Clio,2001,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Renault&varnome=Clio&anoini=2001&anofim=2001,True
Renault,Clio,2000,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Renault&varnome=Clio&anoini=2000&anofim=2000,True
Renault,Clio,1999,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Renault&varnome=Clio&anoini=1999&anofim=1999,False
Renault,Clio,1998,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Renault&varnome=Clio&anoini=1998&anofim=1998,False
Renault,Clio,1997,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Renault&varnome=Clio&anoini=1997&anofim=1997,True
Renault,Clio,1996,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Renault&varnome=Clio&anoini=1996&anofim=1996,False
Audi,100,1994,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Audi&varnome=100&anoini=1994&anofim=1994,True
Audi,100,1993,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Audi&varnome=100&anoini=1993&anofim=1993,False
Kia,Sephia,2000,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Kia&varnome=Sephia&anoini=2000&anofim=2000,True
Kia,Sephia,1999,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Kia&varnome=Sephia&anoini=1999&anofim=1999,False
Kia,Sephia,1996,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Kia&varnome=Sephia&anoini=1996&anofim=1996,False
Kia,Sephia,1995,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Kia&varnome=Sephia&anoini=1995&anofim=1995,False
Kia,Sephia,1994,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Kia&varnome=Sephia&anoini=1994&anofim=1994,True
BMW,428i Cabriolet,2016,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=BMW&varnome=428i%20Cabriolet&anoini=2016&anofim=2016,True
BMW,428i Cabriolet,2015,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=BMW&varnome=428i%20Cabriolet&anoini=2015&anofim=2015,True
BMW,428i Cabriolet,2014,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=BMW&varnome=428i%20Cabriolet&anoini=2014&anofim=2014,False
GMC,Typhoon,1992,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=GMC&varnome=Typhoon&anoini=1992&anofim=1992,False
Peugeot,306 Cabriolet,1999,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Peugeot&varnome=306%20Cabriolet&anoini=1999&anofim=1999,True
Peugeot,306 Cabriolet,1995,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Peugeot&varnome=306%20Cabriolet&anoini=1995&anofim=1995,False
Peugeot,306 Cabriolet,1994,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Peugeot&varnome=306%20Cabriolet&anoini=1994&anofim=1994,False
Mercedes-Benz,SLR,2004,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Mercedes-Benz&varnome=SLR&anoini=2004&anofim=2004,False
Audi,R8,2022,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Audi&varnome=R8&anoini=2022&anofim=2022,False
Audi,R8,2021,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Audi&varnome=R8&anoini=2021&anofim=2021,False
Audi,R8,2018,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Audi&varnome=R8&anoini=2018&anofim=2018,False
Audi,R8,2017,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Audi&varnome=R8&anoini=2017&anofim=2017,False
Audi,R8,2015,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Audi&varnome=R8&anoini=2015&anofim=2015,True
Audi,R8,2014,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Audi&varnome=R8&anoini=2014&anofim=2014,False
Audi,R8,2012,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Audi&varnome=R8&anoini=2012&anofim=2012,False
Audi,R8,2011,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Audi&varnome=R8&anoini=2011&anofim=2011,True
Audi,R8,2010,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Audi&varnome=R8&anoini=2010&anofim=2010,True
Chery,Tiggo 8,2024,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Chery&varnome=Tiggo%208&anoini=2024&anofim=2024,False
Chery,Tiggo 8,2023,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Chery&varnome=Tiggo%208&anoini=2023&anofim=2023,False
Chery,Tiggo 8,2022,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Chery&varnome=Tiggo%208&anoini=2022&anofim=2022,True
Chery,Tiggo 8,2021,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Chery&varnome=Tiggo%208&anoini=2021&anofim=2021,True
Mercedes-Benz,CL 63,2011,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Mercedes-Benz&varnome=CL%2063&anoini=2011&anofim=2011,True
Mercedes-Benz,CL 63,2010,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Mercedes-Benz&varnome=CL%2063&anoini=2010&anofim=2010,True
Mercedes-Benz,CL 63,2009,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Mercedes-Benz&varnome=CL%2063&anoini=2009&anofim=2009,False
Mercedes-Benz,CL 63,2008,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Mercedes-Benz&varnome=CL%2063&anoini=2008&anofim=2008,False
Kia,Stinger,2020,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Kia&varnome=Stinger&anoini=2020&anofim=2020,True
Kia,Stinger,2019,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Kia&varnome=Stinger&anoini=2019&anofim=2019,False
Porsche,928,1995,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Porsche&varnome=928&anoini=1995&anofim=1995,False
Porsche,928,1994,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Porsche&varnome=928&anoini=1994&anofim=1994,True
Porsche,928,1993,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Porsche&varnome=928&anoini=1993&anofim=1993,False
Porsche,928,1992,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Porsche&varnome=928&anoini=1992&anofim=1992,False
BMW,420i Cabriolet,2023,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=BMW&varnome=420i%20Cabriolet&anoini=2023&anofim=2023,False
BMW,420i Cabriolet,2022,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=BMW&varnome=420i%20Cabriolet&anoini=2022&anofim=2022,False
BMW,420i Cabriolet,2016,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=BMW&varnome=420i%20Cabriolet&anoini=2016&anofim=2016,True
BMW,420i Cabriolet,2015,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=BMW&varnome=420i%20Cabriolet&anoini=2015&anofim=2015,False
Jaguar,X-Type,2008,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Jaguar&varnome=X-Type&anoini=2008&anofim=2008,True
Jaguar,X-Type,2006,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Jaguar&varnome=X-Type&anoini=2006&anofim=2006,True
Jaguar,X-Type,2004,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Jaguar&varnome=X-Type&anoini=2004&anofim=2004,True
Jaguar,X-Type,2002,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Jaguar&varnome=X-Type&anoini=2002&anofim=2002,False
Lexus,NX200t,2017,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Lexus&varnome=NX200t&anoini=2017&anofim=2017,True
Lexus,NX200t,2016,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Lexus&varnome=NX200t&anoini=2016&anofim=2016,False
Lexus,NX200t,2015,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Lexus&varnome=NX200t&anoini=2015&anofim=2015,False
Renault,Express,2000,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Renault&varnome=Express&anoini=2000&anofim=2000,True
Renault,Express,1999,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Renault&varnome=Express&anoini=1999&anofim=1999,False
Renault,Express,1998,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Renault&varnome=Express&anoini=1998&anofim=1998,True
Mercedes-Benz,180D,1996,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Mercedes-Benz&varnome=180D&anoini=1996&anofim=1996,False
Mercedes-Benz,180D,1995,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Mercedes-Benz&varnome=180D&anoini=1995&anofim=1995,True
Mercedes-Benz,180D,1994,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Mercedes-Benz&varnome=180D&anoini=1994&anofim=1994,False
Toyota,Yaris,2024,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Toyota&varnome=Yaris&anoini=2024&anofim=2024,False
Toyota,Yaris,2023,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Toyota&varnome=Yaris&anoini=2023&anofim=2023,True
Toyota,Yaris,2022,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Toyota&varnome=Yaris&anoini=2022&anofim=2022,False
Toyota,Yaris,2021,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Toyota&varnome=Yaris&anoini=2021&anofim=2021,True
Toyota,Yaris,2020,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Toyota&varnome=Yaris&anoini=2020&anofim=2020,True
Toyota,Yaris,2019,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Toyota&varnome=Yaris&anoini=2019&anofim=2019,False
Chery,Face,2015,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Chery&varnome=Face&anoini=2015&anofim=2015,True
Chery,Face,2014,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Chery&varnome=Face&anoini=2014&anofim=2014,True
Chery,Face,2013,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Chery&varnome=Face&anoini=2013&anofim=2013,True
Chery,Face,2012,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Chery&varnome=Face&anoini=2012&anofim=2012,True
Chery,Face,2011,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Chery&varnome=Face&anoini=2011&anofim=2011,False
Chery,Face,2010,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Chery&varnome=Face&anoini=2010&anofim=2010,True
Honda,City Hatch,2024,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Honda&varnome=City%20Hatch&anoini=2024&anofim=2024,False
Honda,City Hatch,2023,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Honda&varnome=City%20Hatch&anoini=2023&anofim=2023,False
Honda,City Hatch,2022,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Honda&varnome=City%20Hatch&anoini=2022&anofim=2022,True
BYD,Han,2023,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=BYD&varnome=Han&anoini=2023&anofim=2023,False
BYD,Han,2022,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=BYD&varnome=Han&anoini=2022&anofim=2022,False
BMW,330i,2021,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=BMW&varnome=330i&anoini=2021&anofim=2021,False
BMW,330i,2020,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=BMW&varnome=330i&anoini=2020&anofim=2020,False
BMW,330i,2019,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=BMW&varnome=330i&anoini=2019&anofim=2019,False
BMW,330i,2007,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=BMW&varnome=330i&anoini=2007&anofim=2007,True
BMW,330i,2006,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=BMW&varnome=330i&anoini=2006&anofim=2006,True
BMW,330i,2005,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=BMW&varnome=330i&anoini=2005&anofim=2005,True
BMW,330i,2004,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=BMW&varnome=330i&anoini=2004&anofim=2004,False
BMW,330i,2003,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=BMW&varnome=330i&anoini=2003&anofim=2003,True
BMW,330i,2002,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=BMW&varnome=330i&anoini=2002&anofim=2002,True
BMW,330i,2001,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=BMW&varnome=330i&anoini=2001&anofim=2001,False
Honda,Fit,2021,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Honda&varnome=Fit&anoini=2021&anofim=2021,False
Honda,Fit,2020,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Honda&varnome=Fit&anoini=2020&anofim=2020,False
Honda,Fit,2019,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Honda&varnome=Fit&anoini=2019&anofim=2019,True
Honda,Fit,2018,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Honda&varnome=Fit&anoini=2018&anofim=2018,False
Honda,Fit,2017,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Honda&varnome=Fit&anoini=2017&anofim=2017,False
Honda,Fit,2016,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Honda&varnome=Fit&anoini=2016&anofim=2016,False
Honda,Fit,2015,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Honda&varnome=Fit&anoini=2015&anofim=2015,False
Honda,Fit,2014,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Honda&varnome=Fit&anoini=2014&anofim=2014,False
Honda,Fit,2013,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Honda&varnome=Fit&anoini=2013&anofim=2013,False
Honda,Fit,2012,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Honda&varnome=Fit&anoini=2012&anofim=2012,True
Honda,Fit,2011,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Honda&varnome=Fit&anoini=2011&anofim=2011,False
Honda,Fit,2010,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Honda&varnome=Fit&anoini=2010&anofim=2010,True
Honda,Fit,2009,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Honda&varnome=Fit&anoini=2009&anofim=2009,False
Honda,Fit,2008,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Honda&varnome=Fit&anoini=2008&anofim=2008,False
Honda,Fit,2007,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Honda&varnome=Fit&anoini=2007&anofim=2007,True
Honda,Fit,2006,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Honda&varnome=Fit&anoini=2006&anofim=2006,False
Honda,Fit,2005,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Honda&varnome=Fit&anoini=2005&anofim=2005,True
Honda,Fit,2004,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Honda&varnome=Fit&anoini=2004&anofim=2004,True
Chevrolet,Sonic Sedan,2014,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Chevrolet&varnome=Sonic%20Sedan&anoini=2014&anofim=2014,True
Chevrolet,Sonic Sedan,2013,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Chevrolet&varnome=Sonic%20Sedan&anoini=2013&anofim=2013,False
Chevrolet,Sonic Sedan,2012,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Chevrolet&varnome=Sonic%20Sedan&anoini=2012&anofim=2012,False
Mercedes-Benz,A35 Sedan,2023,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Mercedes-Benz&varnome=A35%20Sedan&anoini=2023&anofim=2023,False
Mercedes-Benz,A35 Sedan,2022,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Mercedes-Benz&varnome=A35%20Sedan&anoini=2022&anofim=2022,True
Mercedes-Benz,A35 Sedan,2021,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Mercedes-Benz&varnome=A35%20Sedan&anoini=2021&anofim=2021,True
Mercedes-Benz,A35 Sedan,2020,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Mercedes-Benz&varnome=A35%20Sedan&anoini=2020&anofim=2020,True
BMW,530e,2023,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=BMW&varnome=530e&anoini=2023&anofim=2023,False
BMW,530e,2022,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=BMW&varnome=530e&anoini=2022&anofim=2022,True
BMW,530e,2021,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=BMW&varnome=530e&anoini=2021&anofim=2021,True
BMW,530e,2020,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=BMW&varnome=530e&anoini=2020&anofim=2020,True
BMW,530e,2019,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=BMW&varnome=530e&anoini=2019&anofim=2019,False
Renault,Scenic,2011,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Renault&varnome=Scenic&anoini=2011&anofim=2011,True
Renault,Scenic,2010,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Renault&varnome=Scenic&anoini=2010&anofim=2010,False
Renault,Scenic,2009,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Renault&varnome=Scenic&anoini=2009&anofim=2009,False
Renault,Scenic,2008,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Renault&varnome=Scenic&anoini=2008&anofim=2008,False
Renault,Scenic,2007,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Renault&varnome=Scenic&anoini=2007&anofim=2007,False
Renault,Scenic,2006,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Renault&varnome=Scenic&anoini=2006&anofim=2006,False
Renault,Scenic,2005,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Renault&varnome=Scenic&anoini=2005&anofim=2005,False
Renault,Scenic,2004,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Renault&varnome=Scenic&anoini=2004&anofim=2004,False
Renault,Scenic,2003,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Renault&varnome=Scenic&anoini=2003&anofim=2003,False
Renault,Scenic,2002,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Renault&varnome=Scenic&anoini=2002&anofim=2002,True
Renault,Scenic,2001,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Renault&varnome=Scenic&anoini=2001&anofim=2001,False
Renault,Scenic,2000,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Renault&varnome=Scenic&anoini=2000&anofim=2000,False
Renault,Scenic,1999,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Renault&varnome=Scenic&anoini=1999&anofim=1999,True
Chrysler,Sebring,2003,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Chrysler&varnome=Sebring&anoini=2003&anofim=2003,False
Chrysler,Sebring,2002,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Chrysler&varnome=Sebring&anoini=2002&anofim=2002,False
Chrysler,Sebring,2001,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Chrysler&varnome=Sebring&anoini=2001&anofim=2001,True
Lafer,MP,1983,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Lafer&varnome=MP&anoini=1983&anofim=1983,True
Lafer,MP,1979,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Lafer&varnome=MP&anoini=1979&anofim=1979,False
Lafer,MP,1976,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Lafer&varnome=MP&anoini=1976&anofim=1976,False
BMW,M2,2021,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=BMW&varnome=M2&anoini=2021&anofim=2021,False
BMW,M2,2020,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=BMW&varnome=M2&anoini=2020&anofim=2020,False
