Brands,Link_Brands,download_flag
Ferrari,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Ferrari,True
Fiat,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Fiat,True
Ford,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Ford,True
Geely,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Geely,True
GMC,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=GMC,True
Gurgel,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Gurgel,True
GWM,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=GWM,True
Hafei,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Hafei,True
Hennessey,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Hennessey,True
Hofstetter,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Hofstetter,True
Honda,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Honda,True
Hummer,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Hummer,True
Hyundai,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Hyundai,True
Infiniti,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Infiniti,True
Iveco,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Iveco,True
JAC,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=JAC,True
Jaguar,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Jaguar,True
Jeep,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Jeep,True
Jinbei,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Jinbei,True
JPX,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=JPX,True
Kia,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Kia,True
Koenigsegg,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Koenigsegg,True
KTM,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=KTM,True
Lada,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Lada,True
Lafer,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Lafer,True
Lamborghini,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Lamborghini,True
Land Rover,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Land%20Rover,True
Lexus,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Lexus,True
Lifan,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Lifan,True
Lincoln,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Lincoln,True
Lobini,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Lobini,True
Lotus,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Lotus,True
Mahindra,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Mahindra,True
Maserati,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Maserati,True
Mazda,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Mazda,True
McLaren,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=McLaren,True
Mercedes-Benz,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Mercedes-Benz,True
Mercury,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Mercury,True
MG,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=MG,True
Mini,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Mini,True
Mitsubishi,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Mitsubishi,True
Miura,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Miura,True
Nissan,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Nissan,True
Pagani,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Pagani,True
Peugeot,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Peugeot,True
Plymouth,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Plymouth,True
Pontiac,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Pontiac,True
Porsche,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Porsche,True
Puma,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Puma,True
Ragge,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Ragge,True
RAM,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=RAM,True
Rely,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Rely,True
Renault,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Renault,True
Rolls-Royce,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Rolls-Royce,True
Saab,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Saab,True
Saleen,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Saleen,True
Santa Matilde,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Santa%20Matilde,True
Saturn,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Saturn,True
Seat,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Seat,True
Shineray,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Shineray,True
Smart,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Smart,True
Ssangyong,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Ssangyong,True
SSC,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=SSC,True
Subaru,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Subaru,True
Suzuki,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Suzuki,True
TAC,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=TAC,True
Tesla,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Tesla,True
Toyota,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Toyota,True
Troller,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Troller,True
Volkswagen,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Volkswagen,True
Volvo,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Volvo,True
W Motors,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=W%20Motors,True
